,UserName,Repositry name,Rating,Url,Topic
82,justjavac,free-programming-books-zh_CN,105096,https://github.com/justjavac/free-programming-books-zh_CN,Android
83,Genymobile,scrcpy,91390,https://github.com/Genymobile/scrcpy,Android
84,Hack-with-Github,Awesome-Hacking,69299,https://github.com/Hack-with-Github/Awesome-Hacking,Android
85,google,material-design-icons,48660,https://github.com/google/material-design-icons,Android
86,Solido,awesome-flutter,48523,https://github.com/Solido/awesome-flutter,Android
87,wasabeef,awesome-android-ui,47394,https://github.com/wasabeef/awesome-android-ui,Android
88,square,okhttp,44516,https://github.com/square/okhttp,Android
89,android,architecture-samples,43154,https://github.com/android/architecture-samples,Android
90,square,retrofit,41998,https://github.com/square/retrofit,Android
91,laurent22,joplin,38686,https://github.com/laurent22/joplin,Android
92,dcloudio,uni-app,38612,https://github.com/dcloudio/uni-app,Android
93,fastlane,fastlane,37536,https://github.com/fastlane/fastlane,Android
94,PhilJay,MPAndroidChart,36817,https://github.com/PhilJay/MPAndroidChart,Android
95,skylot,jadx,36295,https://github.com/skylot/jadx,Android
96,airbnb,lottie-android,34239,https://github.com/airbnb/lottie-android,Android
97,shadowsocks,shadowsocks-android,33982,https://github.com/shadowsocks/shadowsocks-android,Android
98,bumptech,glide,33925,https://github.com/bumptech/glide,Android
99,appwrite,appwrite,33209,https://github.com/appwrite/appwrite,Android
100,justjavac,free-programming-books-zh_CN,105096,https://github.com/justjavac/free-programming-books-zh_CN,Angular
101,angular,angular,90360,https://github.com/angular/angular,Angular
102,storybookjs,storybook,80414,https://github.com/storybookjs/storybook,Angular
103,leonardomso,33-js-concepts,57740,https://github.com/leonardomso/33-js-concepts,Angular
104,ionic-team,ionic-framework,49490,https://github.com/ionic-team/ionic-framework,Angular
105,prettier,prettier,46651,https://github.com/prettier/prettier,Angular
106,Asabeneh,30-Days-Of-JavaScript,38496,https://github.com/Asabeneh/30-Days-Of-JavaScript,Angular
107,SheetJS,sheetjs,33584,https://github.com/SheetJS/sheetjs,Angular
108,angular,angular-cli,26252,https://github.com/angular/angular-cli,Angular
109,angular,components,23651,https://github.com/angular/components,Angular
110,NativeScript,NativeScript,22981,https://github.com/NativeScript/NativeScript,Angular
111,goldbergyoni,javascript-testing-best-practices,22202,https://github.com/goldbergyoni/javascript-testing-best-practices,Angular
112,jhipster,generator-jhipster,20852,https://github.com/jhipster/generator-jhipster,Angular
113,pubkey,rxdb,19668,https://github.com/pubkey/rxdb,Angular
114,nrwl,nx,19354,https://github.com/nrwl/nx,Angular
115,sudheerj,javascript-interview-questions,17916,https://github.com/sudheerj/javascript-interview-questions,Angular
116,wailsapp,wails,17593,https://github.com/wailsapp/wails,Angular
117,teambit,bit,17001,https://github.com/teambit/bit,Angular
118,sweetalert2,sweetalert2,16243,https://github.com/sweetalert2/sweetalert2,Angular
119,jasontaylordev,CleanArchitecture,13232,https://github.com/jasontaylordev/CleanArchitecture,Angular
120,ansible,ansible,58635,https://github.com/ansible/ansible,Ansible
121,bregman-arie,devops-exercises,58180,https://github.com/bregman-arie/devops-exercises,Ansible
122,trailofbits,algo,27653,https://github.com/trailofbits/algo,Ansible
123,MichaelCade,90DaysOfDevOps,23865,https://github.com/MichaelCade/90DaysOfDevOps,Ansible
124,StreisandEffect,streisand,23032,https://github.com/StreisandEffect/streisand,Ansible
125,kubernetes-sigs,kubespray,14468,https://github.com/kubernetes-sigs/kubespray,Ansible
